,PROPERTIES_SHOPPABLE_POST_ID,POST_TIMESTAMP,LAST_CLICK_TIMESTAMP,PREVIEW,FULL_VIEW,CTR,RT_SCORE,score,coldness_score,hotness_score,date
235853,235853,1569776805105,1569992724142.0,71,15,0.1744186046511628,37.40375260893334,43.060355044196776,6.250764350568261e-08,43.06035498168913,2019-09-29 10:06:45.105
235854,235854,1569776934279,1569997293344.0,737,44,0.056338028169014086,10.935160915406152,11.520743158792078,0.0,11.520743158792078,2019-09-29 10:08:54.279
235855,235855,1569776945195,1569990745363.0,92,13,0.12380952380952381,25.951920506281663,30.246944185167973,1.7208456881689926e-12,30.246944185166253,2019-09-29 10:09:05.195
235856,235856,1569776989984,1569777001846.0,1,1,0.5,99.9551826808796,99.99997364660662,49.99997478262959,49.99999886397703,2019-09-29 10:09:49.984
235857,235857,1569777056313,1569974681473.0,13,1,0.07142857142857142,56.83770961248433,64.84072951098766,49.98982865109724,14.850900859890414,2019-09-29 10:10:56.313
235858,235858,1569777173958,1569980426133.0,35,6,0.14634146341463414,31.44238696240007,40.62485118820724,3.7929090010621724,36.83194218714507,2019-09-29 10:12:53.958
235859,235859,1569777854893,1569993168725.0,68,3,0.04225352112676056,8.718771201417823,8.990413445710226,2.801398224505647e-07,8.990413165570404,2019-09-29 10:24:14.893
235860,235860,1569778063004,1569986140528.0,15,0,0.0,39.01159902296649,54.13099589284994,49.97236106815382,4.158634824696119,2019-09-29 10:27:43.004
235861,235861,1569778143384,1569998087770.0,1270,145,0.10247349823321555,20.66269473990974,23.544953403247305,0.0,23.544953403247305,2019-09-29 10:29:03.384
235862,235862,1569778145768,1569977653744.0,2,0,0.0,54.12598655781849,54.158593248294736,49.99995842359862,4.158634824696119,2019-09-29 10:29:05.768
235863,235863,1569778224386,1569998117494.0,1036,47,0.04339796860572484,8.884765686844364,9.176109917969479,0.0,9.176109917969479,2019-09-29 10:30:24.386
235864,235864,1569778248340,1569997028940.0,31,10,0.24390243902439024,46.16799274052355,68.02218804016825,18.87703343990727,49.14515460026097,2019-09-29 10:30:48.340
235865,235865,1569778370649,1569983375334.0,24,2,0.07692307692307693,16.097122192246115,63.85189019164895,47.628706341121664,16.22318385052729,2019-09-29 10:32:50.649
235866,235866,1569778542427,1569780237046.0,14,0,0.0,43.72820845839388,54.1418673181728,49.98323249347668,4.158634824696119,2019-09-29 10:35:42.427
235867,235867,1569778558607,1569986196315.0,40,16,0.2857142857142857,48.24621156182328,50.15043055124244,0.3346425462142366,49.8157880050282,2019-09-29 10:35:58.607
235868,235868,1569778593522,1569983363137.0,21,0,0.0,9.297836070558715,53.609287693166465,49.45065286847034,4.158634824696119,2019-09-29 10:36:33.522
235869,235869,1569778632657,1569985953658.0,87,2,0.02247191011235955,6.224605639092683,6.281130170401706,2.0972112935169207e-11,6.2811301703807345,2019-09-29 10:37:12.657
235873,235873,1569778691210,1569983375334.0,33,0,0.0,4.172828943287017,13.279911015013937,9.121276190317818,4.158634824696119,2019-09-29 10:38:11.210
235874,235874,1569778777870,1569995305913.0,248,10,0.03875968992248062,8.227155118985237,8.44426246244474,0.0,8.44426246244474,2019-09-29 10:39:37.870
235875,235875,1569778872502,1569974681474.0,4,0,0.0,54.06998709495652,54.158521808481225,49.9998869837851,4.158634824696119,2019-09-29 10:41:12.502
235876,235876,1569778985357,1569991225169.0,74,7,0.08641975308641975,16.906878073586153,18.7818567023395,1.3947343280307223e-08,18.781856688392157,2019-09-29 10:43:05.357
235877,235877,1569779005103,1569997973957.0,72,11,0.13253012048192772,28.116238443630625,32.913065044074756,3.791280622778004e-08,32.91306500616195,2019-09-29 10:43:25.103
235878,235878,1569779099745,1569779603815.0,11,4,0.26666666666666666,94.69602888034873,99.616540142433,49.99625768862447,49.62028245380853,2019-09-29 10:44:59.745
235879,235879,1569779159377,1569997089343.0,1196,24,0.019672131147540985,5.925807841452282,5.967172661882664,0.0,5.967172661882664,2019-09-29 10:45:59.377
235880,235880,1569779503889,1569993731877.0,75,3,0.038461538461538464,8.18625057841502,8.399080751763268,8.459488665124582e-09,8.399080743303779,2019-09-29 10:51:43.889
235881,235881,1569779515265,1569996061351.0,526,46,0.08041958041958042,15.591171046314797,17.13876802271121,0.0,17.13876802271121,2019-09-29 10:51:55.265
235882,235882,1569779704190,1569995600049.0,27,6,0.18181818181818182,39.03008106809043,85.14797660821704,40.878723809682185,44.26925279853485,2019-09-29 10:55:04.190
235883,235883,1569779758736,1569822326094.0,10,0,0.0,52.43637504138556,54.156364931260995,49.99773010656488,4.158634824696119,2019-09-29 10:55:58.736
235884,235884,1569779903171,1569987150236.0,19,0,0.0,16.03153624189125,53.95512793890131,49.79649311420519,4.158634824696119,2019-09-29 10:58:23.171
235887,235887,1569780188323,1569980125663.0,40,5,0.1111111111111111,22.78404084873997,26.58360192016124,0.3346425462142366,26.248959373947002,2019-09-29 11:03:08.323
235888,235888,1569780313094,1569780341214.0,3,1,0.25,96.48927388221728,99.30821187430703,49.999931452139656,49.30828042216737,2019-09-29 11:05:13.094
235889,235889,1569780614004,1569996403576.0,76,4,0.05,9.89080557207744,10.315046793732822,5.130940117226146e-09,10.315046788601881,2019-09-29 11:10:14.004
235890,235890,1569780727976,1569994899906.0,520,35,0.06306306306306306,12.127600266799266,12.924360897094628,0.0,12.924360897094628,2019-09-29 11:12:07.976
235891,235891,1569780754254,1569976278781.0,16,2,0.1111111111111111,51.91212242857702,76.20340681422698,49.95444744027997,26.248959373947002,2019-09-29 11:12:34.254
235892,235892,1569780775363,1569997830200.0,4588,644,0.12308868501529052,25.77192579766961,30.02229598274103,0.0,30.02229598274103,2019-09-29 11:12:55.363
235893,235893,1569780779692,1569980591410.0,7,2,0.2222222222222222,93.87439862316391,98.24527631899555,49.99949350045096,48.24578281854459,2019-09-29 11:12:59.692
235894,235894,1569780782376,1569978169921.0,88,3,0.03296703296703297,7.461460268912045,7.60527526092342,1.2723155862204294e-11,7.605275260910697,2019-09-29 11:13:02.376
235895,235895,1569780886565,1569992543565.0,127,15,0.1056338028169014,21.432956791192346,24.527615286568118,0.0,24.527615286568118,2019-09-29 11:14:46.565
235896,235896,1569780910142,1569976993291.0,20,1,0.047619047619047616,17.461868613266052,59.55616302585667,49.66535745378576,9.890805572070912,2019-09-29 11:15:10.142
235897,235897,1569781074786,1569974460791.0,68,18,0.20930232558139536,42.82209415004628,47.37774448005526,2.801398224505647e-07,47.37774419991544,2019-09-29 11:17:54.786
235898,235898,1569781084788,1569989506817.0,17,0,0.0,27.08011066385613,54.08357571185927,49.924940887163146,4.158634824696119,2019-09-29 11:18:04.788
235899,235899,1569781292536,1569981860027.0,42,2,0.045454545454545456,9.189423579535335,9.642044527052025,0.12363115783173284,9.518413369220292,2019-09-29 11:21:32.536
235900,235900,1569781335269,1569997895610.0,3096,258,0.07692307692307693,14.850900859890414,16.22318385052729,0.0,16.22318385052729,2019-09-29 11:22:15.269
235901,235901,1569781342755,1569987143934.0,36,1,0.02702702702702703,6.741471274263707,9.197618827684432,2.371293658878332,6.8263251688060995,2019-09-29 11:22:22.755
235902,235902,1569781442578,1569995876284.0,83,6,0.06741573033707865,12.945079520445798,13.9018783557632,1.5494272531668685e-10,13.901878355608257,2019-09-29 11:24:02.578
235903,235903,1569781522235,1569781653633.0,3,3,0.5,99.92118484403065,99.99993031611669,49.999931452139656,49.99999886397703,2019-09-29 11:25:22.235
235904,235904,1569781746403,1569980724666.0,7,0,0.0,53.763780649325184,54.158128325147075,49.99949350045096,4.158634824696119,2019-09-29 11:29:06.403
235905,235905,1569781808547,1569975055809.0,8,1,0.1111111111111111,72.13592572892648,76.24812430285459,49.9991649289076,26.248959373947002,2019-09-29 11:30:08.547
235906,235906,1569781882784,1569996764070.0,30,4,0.11764705882352941,24.47542405053477,53.31371970977196,25.0,28.313719709771963,2019-09-29 11:31:22.784
235907,235907,1569781891863,1569997702625.0,1408,185,0.11613308223477715,24.033752122548194,27.835754612604035,0.0,27.835754612604035,2019-09-29 11:31:31.863
235908,235908,1569781944479,1569995783350.0,154,23,0.12994350282485875,27.47771509247598,32.13397465517926,0.0,32.13397465517926,2019-09-29 11:32:24.479
235909,235909,1569782072564,1569782099348.0,2,2,0.5,99.9423416777684,99.99995728757565,49.99995842359862,49.99999886397703,2019-09-29 11:34:32.564
235911,235911,1569782122893,1569993196539.0,23,1,0.041666666666666664,10.656583445047387,57.43089250282935,48.53438846243218,8.896504040397165,2019-09-29 11:35:22.893
235910,235910,1569782099945,1569980108818.0,10,0,0.0,52.43637504138556,54.156364931260995,49.99773010656488,4.158634824696119,2019-09-29 11:34:59.945
236280,236280,1569818160548,1569818165539.0,1,0,0.0,54.138827560929684,54.158609607325715,49.99997478262959,4.158634824696119,2019-09-29 21:36:00.548
236220,236220,1569811527753,1569820603028.0,5,0,0.0,54.01264733507651,54.15844849273191,49.99981366803579,4.158634824696119,2019-09-29 19:45:27.753
236291,236291,1569819825351,1569992631040.0,79,16,0.16842105263157894,36.2402334122906,41.948828594118865,1.1448619829934614e-09,41.948828592974,2019-09-29 22:03:45.351
236279,236279,1569818083282,1569974892914.0,6,0,0.0,53.91839718033815,54.158327615966,49.99969279126989,4.158634824696119,2019-09-29 21:34:43.282
236264,236264,1569815321320,,0,0,NaN,49.987984414359055,49.999984704888654,49.999984704888654,0.0,2019-09-29 20:48:41.320
236292,236292,1569819950665,1569969012826.0,3,1,0.25,96.48927388221728,99.30821187430703,49.999931452139656,49.30828042216737,2019-09-29 22:05:50.665
236236,236236,1569813057863,1569993731877.0,25,3,0.10714285714285714,22.566667016455053,71.20709099893782,46.20709099893782,25.0,2019-09-29 20:10:57.863
236219,236219,1569811498632,1569992166000.0,12,0,0.0,49.73865096434321,54.152465095896815,49.99383027120069,4.158634824696119,2019-09-29 19:44:58.632
236221,236221,1569811624706,1569996885694.0,112,33,0.22758620689655173,44.79148905883407,48.524192431919445,0.0,48.524192431919445,2019-09-29 19:47:04.706
236269,236269,1569816216628,1569974681476.0,6,0,0.0,53.91839718033815,54.158327615966,49.99969279126989,4.158634824696119,2019-09-29 21:03:36.628
236293,236293,1569820122639,1569987968754.0,28,13,0.3170731707317073,49.21988099884637,86.5018668470164,36.55292893150025,49.948937915516154,2019-09-29 22:08:42.639
236294,236294,1569820221079,1569995195814.0,29,19,0.3958333333333333,49.9045345777155,81.12184321879968,31.12296656009273,49.99887665870695,2019-09-29 22:10:21.079
236295,236295,1569820338019,1569989476358.0,64,7,0.09859154929577464,19.72818194010262,22.353702663323485,2.0699687797165467e-06,22.353700593354706,2019-09-29 22:12:18.019
236296,236296,1569820477934,1569996625311.0,57,4,0.06557377049180328,12.594810561578553,13.481660890060352,6.854786034904414e-05,13.481592342200003,2019-09-29 22:14:37.934
236275,236275,1569817396530,1569997097842.0,363,28,0.07161125319693094,13.766211336572475,14.895185195617152,0.0,14.895185195617152,2019-09-29 21:23:16.530
236250,236250,1569814361624,1569814500412.0,0,1,1.0,99.98798327833609,99.99998356886567,49.999984704888654,49.99999886397703,2019-09-29 20:32:41.624
236297,236297,1569820781158,1569990398678.0,180,21,0.1044776119402985,21.15027246019369,24.166975171529433,0.0,24.166975171529433,2019-09-29 22:19:41.158
236298,236298,1569820998767,1569992677798.0,95,11,0.10377358490566038,20.978628206712997,23.947990033994678,3.885780586188048e-13,23.94799003399429,2019-09-29 22:23:18.767
236270,236270,1569816344776,1569995744274.0,131,8,0.05755395683453238,11.144349922542608,11.764967163158262,0.0,11.764967163158262,2019-09-29 21:05:44.776
236238,236238,1569813269518,1569970839178.0,17,0,0.0,27.08011066385613,54.08357571185927,49.924940887163146,4.158634824696119,2019-09-29 20:14:29.518
236199,236199,1569808949832,1569993161604.0,68,2,0.02857142857142857,6.920427232583655,7.021249294878771,2.801398224505647e-07,7.021249014738949,2019-09-29 19:02:29.832
236299,236299,1569821544338,1569997991458.0,289,17,0.05555555555555555,10.802046864073949,11.365796806917967,0.0,11.365796806917967,2019-09-29 22:32:24.338
236300,236300,1569821773081,1569985188240.0,33,1,0.029411764705882353,7.0354431333298475,16.250797243371505,9.121276190317818,7.129521053053687,2019-09-29 22:36:13.081
